table,column,dataset_id,predicted_semantic_type
CityMaxCapita_1,column_2,CityMaxCapita_1+column_2,city
CityMaxCapita_1,column_10,CityMaxCapita_1+column_10,gender
CityMaxCapita_1,column_14,CityMaxCapita_1+column_14,language
CityMaxCapita_1,column_20,CityMaxCapita_1+column_20,region
CityMaxCapita_1,column_23,CityMaxCapita_1+column_23,state
CMSprovider_1,column_13,CMSprovider_1+column_13,city
CMSprovider_1,column_15,CMSprovider_1+column_15,gender
CMSprovider_1,column_17,CMSprovider_1+column_17,address
CMSprovider_2,column_6,CMSprovider_2+column_6,description
CMSprovider_2,column_12,CMSprovider_2+column_12,code
CMSprovider_2,column_13,CMSprovider_2+column_13,city
CMSprovider_2,column_14,CMSprovider_2+column_14,country
CMSprovider_2,column_15,CMSprovider_2+column_15,gender
CMSprovider_2,column_17,CMSprovider_2+column_17,address
CMSprovider_2,column_22,CMSprovider_2+column_22,type
CommonGovernment_1,column_22,CommonGovernment_1+column_22,description
CommonGovernment_1,column_33,CommonGovernment_1+column_33,category
CommonGovernment_1,column_42,CommonGovernment_1+column_42,description
CommonGovernment_1,column_55,CommonGovernment_1+column_55,year
CommonGovernment_10,column_8,CommonGovernment_10+column_8,type
CommonGovernment_10,column_22,CommonGovernment_10+column_22,description
CommonGovernment_10,column_32,CommonGovernment_10+column_32,category
CommonGovernment_10,column_33,CommonGovernment_10+column_33,category
CommonGovernment_10,column_42,CommonGovernment_10+column_42,description
CommonGovernment_10,column_55,CommonGovernment_10+column_55,year
CommonGovernment_11,column_8,CommonGovernment_11+column_8,type
CommonGovernment_11,column_22,CommonGovernment_11+column_22,description
CommonGovernment_11,column_33,CommonGovernment_11+column_33,category
CommonGovernment_11,column_42,CommonGovernment_11+column_42,description
CommonGovernment_11,column_44,CommonGovernment_11+column_44,description
CommonGovernment_12,column_8,CommonGovernment_12+column_8,type
CommonGovernment_12,column_22,CommonGovernment_12+column_22,description
CommonGovernment_12,column_32,CommonGovernment_12+column_32,category
CommonGovernment_12,column_33,CommonGovernment_12+column_33,category
CommonGovernment_12,column_42,CommonGovernment_12+column_42,description
CommonGovernment_12,column_44,CommonGovernment_12+column_44,description
CommonGovernment_12,column_55,CommonGovernment_12+column_55,year
CommonGovernment_13,column_8,CommonGovernment_13+column_8,type
CommonGovernment_13,column_16,CommonGovernment_13+column_16,code
CommonGovernment_13,column_32,CommonGovernment_13+column_32,category
CommonGovernment_13,column_33,CommonGovernment_13+column_33,category
CommonGovernment_13,column_55,CommonGovernment_13+column_55,year
CommonGovernment_2,column_16,CommonGovernment_2+column_16,code
CommonGovernment_2,column_42,CommonGovernment_2+column_42,description
CommonGovernment_2,column_44,CommonGovernment_2+column_44,description
CommonGovernment_2,column_55,CommonGovernment_2+column_55,year
CommonGovernment_3,column_8,CommonGovernment_3+column_8,type
CommonGovernment_3,column_16,CommonGovernment_3+column_16,code
CommonGovernment_3,column_42,CommonGovernment_3+column_42,description
CommonGovernment_3,column_44,CommonGovernment_3+column_44,description
CommonGovernment_4,column_8,CommonGovernment_4+column_8,type
CommonGovernment_4,column_22,CommonGovernment_4+column_22,description
CommonGovernment_4,column_32,CommonGovernment_4+column_32,category
CommonGovernment_4,column_33,CommonGovernment_4+column_33,category
CommonGovernment_4,column_42,CommonGovernment_4+column_42,description
CommonGovernment_4,column_44,CommonGovernment_4+column_44,description
CommonGovernment_5,column_22,CommonGovernment_5+column_22,description
CommonGovernment_5,column_32,CommonGovernment_5+column_32,category
CommonGovernment_5,column_33,CommonGovernment_5+column_33,category
CommonGovernment_5,column_42,CommonGovernment_5+column_42,description
CommonGovernment_5,column_44,CommonGovernment_5+column_44,description
CommonGovernment_5,column_55,CommonGovernment_5+column_55,year
CommonGovernment_6,column_8,CommonGovernment_6+column_8,type
CommonGovernment_6,column_16,CommonGovernment_6+column_16,code
CommonGovernment_6,column_22,CommonGovernment_6+column_22,description
CommonGovernment_6,column_33,CommonGovernment_6+column_33,category
CommonGovernment_6,column_42,CommonGovernment_6+column_42,description
CommonGovernment_6,column_44,CommonGovernment_6+column_44,description
CommonGovernment_6,column_55,CommonGovernment_6+column_55,year
CommonGovernment_7,column_8,CommonGovernment_7+column_8,type
CommonGovernment_7,column_16,CommonGovernment_7+column_16,code
CommonGovernment_7,column_22,CommonGovernment_7+column_22,description
CommonGovernment_7,column_32,CommonGovernment_7+column_32,category
CommonGovernment_7,column_33,CommonGovernment_7+column_33,category
CommonGovernment_7,column_44,CommonGovernment_7+column_44,description
CommonGovernment_7,column_55,CommonGovernment_7+column_55,year
CommonGovernment_8,column_8,CommonGovernment_8+column_8,type
CommonGovernment_8,column_16,CommonGovernment_8+column_16,code
CommonGovernment_8,column_42,CommonGovernment_8+column_42,description
CommonGovernment_8,column_44,CommonGovernment_8+column_44,description
CommonGovernment_8,column_55,CommonGovernment_8+column_55,year
CommonGovernment_9,column_8,CommonGovernment_9+column_8,type
CommonGovernment_9,column_16,CommonGovernment_9+column_16,code
CommonGovernment_9,column_32,CommonGovernment_9+column_32,category
