table,column,dataset_id,already_labeled,semanticType,cluster_label,predicted_type
CMSprovider_1,column_21,CMSprovider_1+column_21,True,service,141,service
CMSprovider_1,column_22,CMSprovider_1+column_22,True,type,108,type
CommonGovernment_13,column_42,CommonGovernment_13+column_42,True,description,92,description
CommonGovernment_1,column_8,CommonGovernment_1+column_8,True,type,134,type
CommonGovernment_1,column_14,CommonGovernment_1+column_14,True,name,73,name
CommonGovernment_1,column_44,CommonGovernment_1+column_44,True,description,66,description
CommonGovernment_2,column_33,CommonGovernment_2+column_33,True,category,51,category
CommonGovernment_3,column_33,CommonGovernment_3+column_33,True,category,51,category
CommonGovernment_3,column_55,CommonGovernment_3+column_55,True,year,38,year
CommonGovernment_8,column_22,CommonGovernment_8+column_22,True,description,4,description
CommonGovernment_8,column_32,CommonGovernment_8+column_32,True,category,78,category
CommonGovernment_9,column_33,CommonGovernment_9+column_33,True,category,51,category
Corporations_1,column_4,Corporations_1+column_4,True,city,52,city
Corporations_1,column_5,Corporations_1+column_5,True,continent,0,continent
Corporations_1,column_6,Corporations_1+column_6,True,country,130,country
HashTags_1,column_6,HashTags_1+column_6,True,name,17,name
HashTags_1,column_62,HashTags_1+column_62,True,status,203,status
Medicare1_1,column_20,Medicare1_1+column_20,True,day,109,day
Medicare2_2,column_17,Medicare2_2+column_17,True,organisation,45,organisation
Medicare2_2,column_19,Medicare2_2+column_19,True,state,26,state
Medicare3_1,column_20,Medicare3_1+column_20,True,address,95,address
MedPayment1_1,column_16,MedPayment1_1+column_16,True,gender,39,gender
MedPayment1_1,column_17,MedPayment1_1+column_17,True,organisation,45,organisation
MedPayment2_1,column_16,MedPayment2_1+column_16,True,gender,39,gender
MLB_10,column_30,MLB_10+column_30,True,position,16,position
MLB_15,column_56,MLB_15+column_56,True,team,1,team
MLB_19,column_58,MLB_19+column_58,True,year,38,year
MLB_2,column_2,MLB_2+column_2,True,team,37,team
MLB_3,column_6,MLB_3+column_6,True,day,7,day
MLB_4,column_22,MLB_4+column_22,True,year,38,year
MLB_44,column_45,MLB_44+column_45,True,name,214,name
MLB_47,column_58,MLB_47+column_58,True,teamName,154,teamName
MLB_50,column_54,MLB_50+column_54,True,teamName,157,teamName
MLB_51,column_51,MLB_51+column_51,True,team,213,team
MLB_54,column_58,MLB_54+column_58,True,teamName,165,teamName
MLB_55,column_52,MLB_55+column_52,True,name,190,name
MLB_58,column_59,MLB_58+column_59,True,teamName,128,teamName
MLB_5,column_27,MLB_5+column_27,True,year,38,year
MLB_6,column_5,MLB_6+column_5,True,type,102,type
MLB_6,column_8,MLB_6+column_8,True,day,7,day
