table,column,dataset_id,already_labeled,semanticType,cluster_label,predicted_type
CityMaxCapita_1,column_2,CityMaxCapita_1+column_2,True,city,22,city
CityMaxCapita_1,column_22,CityMaxCapita_1+column_22,True,country,136,country
CMSprovider_1,column_21,CMSprovider_1+column_21,True,service,52,service
CMSprovider_2,column_6,CMSprovider_2+column_6,True,description,40,description
CMSprovider_2,column_21,CMSprovider_2+column_21,True,service,52,service
CommonGovernment_11,column_32,CommonGovernment_11+column_32,True,category,158,category
CommonGovernment_11,column_33,CommonGovernment_11+column_33,True,category,25,category
CommonGovernment_12,column_8,CommonGovernment_12+column_8,True,type,181,type
CommonGovernment_12,column_13,CommonGovernment_12+column_13,True,type,99,type
CommonGovernment_13,column_14,CommonGovernment_13+column_14,True,name,70,name
CommonGovernment_2,column_32,CommonGovernment_2+column_32,True,category,158,category
CommonGovernment_3,column_42,CommonGovernment_3+column_42,True,description,93,description
CommonGovernment_7,column_55,CommonGovernment_7+column_55,True,year,3,year
CommonGovernment_8,column_15,CommonGovernment_8+column_15,True,state,88,state
CommonGovernment_8,column_55,CommonGovernment_8+column_55,True,year,3,year
CommonGovernment_9,column_33,CommonGovernment_9+column_33,True,category,25,category
Corporations_1,column_5,Corporations_1+column_5,True,continent,1,continent
Corporations_1,column_16,Corporations_1+column_16,True,location,197,location
Corporations_1,column_22,Corporations_1+column_22,True,description,1,description
Euro2016_1,column_2,Euro2016_1+column_2,True,language,87,language
HashTags_1,column_1,HashTags_1+column_1,True,gender,119,gender
HashTags_1,column_55,HashTags_1+column_55,True,language,87,language
HashTags_1,column_62,HashTags_1+column_62,True,status,202,status
IUBLibrary_1,column_8,IUBLibrary_1+column_8,True,format,179,format
IUBLibrary_1,column_12,IUBLibrary_1+column_12,True,language,167,language
Medicare2_2,column_7,Medicare2_2+column_7,True,description,59,description
Medicare2_2,column_17,Medicare2_2+column_17,True,organisation,46,organisation
MedPayment2_1,column_17,MedPayment2_1+column_17,True,organisation,46,organisation
MedPayment2_1,column_20,MedPayment2_1+column_20,True,address,195,address
MLB_10,column_30,MLB_10+column_30,True,position,23,position
MLB_11,column_30,MLB_11+column_30,True,position,23,position
MLB_17,column_57,MLB_17+column_57,True,teamName,11,teamName
MLB_18,column_52,MLB_18+column_52,True,name,232,name
MLB_19,column_50,MLB_19+column_50,True,team,218,team
MLB_23,column_51,MLB_23+column_51,True,team,0,team
MLB_29,column_53,MLB_29+column_53,True,teamName,220,teamName
MLB_3,column_4,MLB_3+column_4,True,type,50,type
MLB_3,column_6,MLB_3+column_6,True,day,17,day
MLB_40,column_41,MLB_40+column_41,True,teamName,9,teamName
MLB_47,column_63,MLB_47+column_63,True,year,3,year
MLB_5,column_12,MLB_5+column_12,True,team,61,team
MLB_6,column_2,MLB_6+column_2,True,team,61,team
MLB_60,column_54,MLB_60+column_54,True,name,154,name
MLB_62,column_59,MLB_62+column_59,True,teamName,144,teamName
MLB_63,column_52,MLB_63+column_52,True,day,147,day
MLB_66,column_8,MLB_66+column_8,True,day,17,day
MLB_66,column_12,MLB_66+column_12,True,day,147,day
MLB_66,column_24,MLB_66+column_24,True,position,210,position
MLB_8,column_30,MLB_8+column_30,True,position,23,position
NYC_1,column_42,NYC_1+column_42,True,region,63,region
NYC_2,column_2,NYC_2+column_2,True,organisation,149,organisation
NYC_2,column_46,NYC_2+column_46,True,status,139,status
PanCreactomy1_1,column_12,PanCreactomy1_1+column_12,True,code,101,code
PanCreactomy1_1,column_14,PanCreactomy1_1+column_14,True,country,95,country
PanCreactomy1_1,column_16,PanCreactomy1_1+column_16,True,gender,68,gender
Physicians_1,column_16,Physicians_1+column_16,True,gender,68,gender
Provider_1,column_14,Provider_1+column_14,True,country,95,country
Provider_2,column_13,Provider_2+column_13,True,city,90,city
Provider_4,column_16,Provider_4+column_16,True,gender,68,gender
Provider_4,column_19,Provider_4+column_19,True,state,55,state
RealEstate1_1,column_0,RealEstate1_1+column_0,True,address,82,address
RealEstate2_1,column_3,RealEstate2_1+column_3,True,county,124,county
RealEstate2_2,column_3,RealEstate2_2+column_3,True,county,124,county
RealEstate2_3,column_1,RealEstate2_3+column_1,True,address,1,address
RealEstate2_3,column_14,RealEstate2_3+column_14,True,region,37,region
RealEstate2_4,column_3,RealEstate2_4+column_3,True,county,124,county
RealEstate2_5,column_0,RealEstate2_5+column_0,True,address,82,address
RealEstate2_5,column_6,RealEstate2_5+column_6,True,duration,69,duration
RealEstate2_5,column_14,RealEstate2_5+column_14,True,region,37,region
RealEstate2_7,column_2,RealEstate2_7+column_2,True,county,124,county
RealEstate2_7,column_13,RealEstate2_7+column_13,True,code,188,code
Redfin1_1,column_30,Redfin1_1+column_30,True,duration,178,duration
Redfin1_2,column_30,Redfin1_2+column_30,True,duration,178,duration
Redfin2_2,column_36,Redfin2_2+column_36,True,region,21,region
Redfin3_1,column_44,Redfin3_1+column_44,True,state,78,state
Redfin4_1,column_34,Redfin4_1+column_34,True,duration,178,duration
Romance_1,column_9,Romance_1+column_9,True,collection,97,collection
Romance_2,column_8,Romance_2+column_8,True,location,1,location
Romance_2,column_9,Romance_2+column_9,True,collection,97,collection
Taxpayer_10,column_17,Taxpayer_10+column_17,True,name,46,name
Taxpayer_7,column_13,Taxpayer_7+column_13,True,city,90,city
Taxpayer_7,column_14,Taxpayer_7+column_14,True,country,95,country
Taxpayer_9,column_12,Taxpayer_9+column_12,True,code,101,code
Taxpayer_9,column_19,Taxpayer_9+column_19,True,state,55,state
TrainsUK1_2,column_7,TrainsUK1_2+column_7,True,operator,65,operator
TrainsUK1_2,column_8,TrainsUK1_2+column_8,True,operator,48,operator
TrainsUK1_3,column_15,TrainsUK1_3+column_15,True,ranking,117,ranking
TrainsUK1_4,column_12,TrainsUK1_4+column_12,True,location,58,location
TrainsUK1_4,column_15,TrainsUK1_4+column_15,True,ranking,117,ranking
TrainsUK1_4,column_17,TrainsUK1_4+column_17,True,location,44,location
TrainsUK2_1,column_4,TrainsUK2_1+column_4,True,operator,48,operator
TrainsUK2_1,column_10,TrainsUK2_1+column_10,True,city,58,city
TrainsUK2_2,column_2,TrainsUK2_2+column_2,True,year,159,year
TrainsUK2_2,column_4,TrainsUK2_2+column_4,True,operator,48,operator
Wins_1,column_151,Wins_1+column_151,True,sex,125,sex
Wins_1,column_182,Wins_1+column_182,True,weight,205,weight
Wins_1,column_242,Wins_1+column_242,True,owner,26,owner
Wins_2,column_460,Wins_2+column_460,True,sex,134,sex
Wins_2,column_529,Wins_2+column_529,True,weight,31,weight
Wins_2,column_604,Wins_2+column_604,True,owner,26,owner
Wins_3,column_529,Wins_3+column_529,True,weight,31,weight
Wins_3,column_584,Wins_3+column_584,True,class,16,class
Wins_3,column_604,Wins_3+column_604,True,owner,26,owner
Wins_4,column_604,Wins_4+column_604,True,owner,26,owner
YaleLanguages_1,column_10,YaleLanguages_1+column_10,True,range,49,range
YaleLanguages_1,column_11,YaleLanguages_1+column_11,True,range,29,range
YaleLanguages_2,column_5,YaleLanguages_2+column_5,True,class,5,class
YaleLanguages_2,column_8,YaleLanguages_2+column_8,True,class,15,class
YaleLanguages_2,column_10,YaleLanguages_2+column_10,True,range,49,range
YaleLanguages_3,column_1,YaleLanguages_3+column_1,True,format,45,format
YaleLanguages_3,column_15,YaleLanguages_3+column_15,True,language,215,language
YaleLanguages_4,column_1,YaleLanguages_4+column_1,True,format,45,format
YaleLanguages_4,column_11,YaleLanguages_4+column_11,True,range,29,range
YaleLanguages_5,column_1,YaleLanguages_5+column_1,True,format,45,format
YaleLanguages_5,column_6,YaleLanguages_5+column_6,True,class,53,class
YaleLanguages_5,column_25,YaleLanguages_5+column_25,True,type,85,type
YaleLanguages_5,column_26,YaleLanguages_5+column_26,True,code,38,code
CityMaxCapita_1,column_1,CityMaxCapita_1+column_1,False,state,231,None
CityMaxCapita_1,column_10,CityMaxCapita_1+column_10,False,gender,111,None
CityMaxCapita_1,column_20,CityMaxCapita_1+column_20,False,region,24,None
CityMaxCapita_1,column_23,CityMaxCapita_1+column_23,False,state,55,state
CityMaxCapita_1,column_30,CityMaxCapita_1+column_30,False,name,19,None
CMSprovider_1,column_5,CMSprovider_1+column_5,False,code,221,None
CMSprovider_1,column_6,CMSprovider_1+column_6,False,description,40,description
CMSprovider_1,column_13,CMSprovider_1+column_13,False,city,90,city
CMSprovider_1,column_14,CMSprovider_1+column_14,False,country,95,country
CMSprovider_1,column_15,CMSprovider_1+column_15,False,gender,68,gender
CMSprovider_1,column_17,CMSprovider_1+column_17,False,address,195,address
CMSprovider_1,column_18,CMSprovider_1+column_18,False,address,116,None
CMSprovider_1,column_22,CMSprovider_1+column_22,False,type,223,None
CMSprovider_2,column_5,CMSprovider_2+column_5,False,code,221,None
CMSprovider_2,column_12,CMSprovider_2+column_12,False,code,101,code
CMSprovider_2,column_14,CMSprovider_2+column_14,False,country,95,country
CMSprovider_2,column_15,CMSprovider_2+column_15,False,gender,68,gender
CMSprovider_2,column_16,CMSprovider_2+column_16,False,state,55,state
CMSprovider_2,column_17,CMSprovider_2+column_17,False,address,195,address
CMSprovider_2,column_18,CMSprovider_2+column_18,False,address,116,None
CMSprovider_2,column_22,CMSprovider_2+column_22,False,type,223,None
CommonGovernment_10,column_3,CommonGovernment_10+column_3,False,name,4,None
CommonGovernment_10,column_4,CommonGovernment_10+column_4,False,code,30,None
CommonGovernment_10,column_8,CommonGovernment_10+column_8,False,type,181,type
CommonGovernment_10,column_11,CommonGovernment_10+column_11,False,code,72,None
CommonGovernment_10,column_12,CommonGovernment_10+column_12,False,name,108,None
CommonGovernment_10,column_13,CommonGovernment_10+column_13,False,type,99,type
CommonGovernment_10,column_14,CommonGovernment_10+column_14,False,name,70,name
CommonGovernment_10,column_15,CommonGovernment_10+column_15,False,state,88,state
CommonGovernment_10,column_16,CommonGovernment_10+column_16,False,code,30,None
CommonGovernment_10,column_22,CommonGovernment_10+column_22,False,description,4,None
CommonGovernment_10,column_28,CommonGovernment_10+column_28,False,name,4,None
CommonGovernment_10,column_32,CommonGovernment_10+column_32,False,category,158,category
CommonGovernment_10,column_33,CommonGovernment_10+column_33,False,category,25,category
CommonGovernment_10,column_41,CommonGovernment_10+column_41,False,code,225,None
CommonGovernment_10,column_42,CommonGovernment_10+column_42,False,description,93,description
CommonGovernment_10,column_43,CommonGovernment_10+column_43,False,code,225,None
CommonGovernment_10,column_44,CommonGovernment_10+column_44,False,description,67,None
CommonGovernment_10,column_49,CommonGovernment_10+column_49,False,name,98,None
CommonGovernment_10,column_53,CommonGovernment_10+column_53,False,name,152,None
CommonGovernment_10,column_55,CommonGovernment_10+column_55,False,year,3,year
