table,column,dataset_id,already_labeled,semanticType,cluster_label,predicted_type
CityMaxCapita_1,column_22,CityMaxCapita_1+column_22,True,country,134,country
CMSprovider_1,column_21,CMSprovider_1+column_21,True,service,228,service
CMSprovider_2,column_21,CMSprovider_2+column_21,True,service,228,service
CommonGovernment_10,column_42,CommonGovernment_10+column_42,True,description,30,description
CommonGovernment_12,column_33,CommonGovernment_12+column_33,True,category,104,category
CommonGovernment_13,column_22,CommonGovernment_13+column_22,True,description,4,description
CommonGovernment_1,column_6,CommonGovernment_1+column_6,True,type,86,type
CommonGovernment_1,column_32,CommonGovernment_1+column_32,True,category,80,category
CommonGovernment_4,column_33,CommonGovernment_4+column_33,True,category,104,category
CommonGovernment_9,column_49,CommonGovernment_9+column_49,True,name,49,name
Corporations_1,column_5,Corporations_1+column_5,True,continent,13,continent
HashTags_1,column_55,HashTags_1+column_55,True,language,43,language
HashTags_1,column_61,HashTags_1+column_61,True,name,18,name
HashTags_1,column_62,HashTags_1+column_62,True,status,202,status
Medicare1_2,column_25,Medicare1_2+column_25,True,day,3,day
Medicare2_2,column_17,Medicare2_2+column_17,True,organisation,45,organisation
MedPayment1_1,column_14,MedPayment1_1+column_14,True,country,97,country
MLB_1,column_45,MLB_1+column_45,True,year,56,year
MLB_21,column_47,MLB_21+column_47,True,name,201,name
MLB_24,column_58,MLB_24+column_58,True,year,56,year
MLB_25,column_50,MLB_25+column_50,True,team,2,team
MLB_2,column_6,MLB_2+column_6,True,day,3,day
MLB_34,column_52,MLB_34+column_52,True,teamName,186,teamName
MLB_51,column_51,MLB_51+column_51,True,team,214,team
MLB_6,column_8,MLB_6+column_8,True,day,3,day
MLB_6,column_12,MLB_6+column_12,True,team,77,team
MLB_64,column_59,MLB_64+column_59,True,teamName,27,teamName
MLB_65,column_59,MLB_65+column_59,True,teamName,27,teamName
MLB_7,column_30,MLB_7+column_30,True,position,16,position
MLB_8,column_30,MLB_8+column_30,True,position,16,position
MLB_9,column_30,MLB_9+column_30,True,position,16,position
NYC_1,column_2,NYC_1+column_2,True,organisation,149,organisation
NYC_1,column_16,NYC_1+column_16,True,type,119,type
NYC_1,column_46,NYC_1+column_46,True,status,156,status
NYC_2,column_2,NYC_2+column_2,True,organisation,149,organisation
NYC_2,column_46,NYC_2+column_46,True,status,156,status
PanCreactomy1_1,column_5,PanCreactomy1_1+column_5,True,code,219,code
Provider_1,column_16,Provider_1+column_16,True,gender,33,gender
Provider_3,column_16,Provider_3+column_16,True,gender,33,gender
Provider_4,column_7,Provider_4+column_7,True,description,236,description
Provider_7,column_6,Provider_7+column_6,True,code,232,code
RealEstate1_1,column_1,RealEstate1_1+column_1,True,address,13,address
RealEstate2_1,column_0,RealEstate2_1+column_0,True,address,113,address
RealEstate2_1,column_2,RealEstate2_1+column_2,True,county,62,county
RealEstate2_2,column_6,RealEstate2_2+column_6,True,duration,68,duration
RealEstate2_2,column_8,RealEstate2_2+column_8,True,location,82,location
RealEstate2_2,column_26,RealEstate2_2+column_26,True,city,50,city
RealEstate2_3,column_2,RealEstate2_3+column_2,True,county,62,county
RealEstate2_3,column_14,RealEstate2_3+column_14,True,region,36,region
RealEstate2_4,column_1,RealEstate2_4+column_1,True,address,13,address
RealEstate2_4,column_8,RealEstate2_4+column_8,True,location,82,location
RealEstate2_6,column_3,RealEstate2_6+column_3,True,county,62,county
